Model,Activation,Optimizer,SeqLen,GradClip,Acc,F1
LSTM,relu,rmsprop,50,Yes,0.74304,0.7410675044496888
LSTM,relu,rmsprop,100,No,0.53368,0.4051180252777628
LSTM,relu,rmsprop,100,Yes,0.79512,0.7948008098690423
LSTM,sigmoid,adam,25,No,0.71388,0.7133239856780207
LSTM,sigmoid,adam,25,Yes,0.7168,0.7167997390026395
LSTM,sigmoid,adam,50,No,0.73428,0.7340014544094133
LSTM,sigmoid,adam,50,Yes,0.74316,0.7428124630986352
LSTM,sigmoid,adam,100,No,0.75952,0.7594723162525967
LSTM,sigmoid,adam,100,Yes,0.71172,0.7105239084108025
LSTM,sigmoid,sgd,25,No,0.5,0.3333333333333333
LSTM,sigmoid,sgd,25,Yes,0.50044,0.33989894399877696
LSTM,sigmoid,sgd,50,No,0.49892,0.38723748306284195
LSTM,sigmoid,sgd,50,Yes,0.5,0.3333333333333333
LSTM,sigmoid,sgd,100,No,0.5,0.3333333333333333
LSTM,sigmoid,sgd,100,Yes,0.5,0.3333333333333333
LSTM,sigmoid,rmsprop,25,No,0.69024,0.6802450221615304
LSTM,sigmoid,rmsprop,25,Yes,0.69788,0.6930155943639734
LSTM,sigmoid,rmsprop,50,No,0.72664,0.7241904867288695
LSTM,sigmoid,rmsprop,50,Yes,0.74032,0.7374228811972787
LSTM,sigmoid,rmsprop,100,No,0.6934,0.6880665057153321
LSTM,sigmoid,rmsprop,100,Yes,0.77328,0.7725273954231382
BiLSTM,tanh,adam,25,No,0.72396,0.7238409816490528
BiLSTM,tanh,adam,25,Yes,0.72212,0.7221187510905149
BiLSTM,tanh,adam,50,No,0.76824,0.7682368613708714
BiLSTM,tanh,adam,50,Yes,0.7618,0.7617486562636215
BiLSTM,tanh,adam,100,No,0.82352,0.8234865793725706
BiLSTM,tanh,adam,100,Yes,0.82256,0.8225219612029359
BiLSTM,tanh,sgd,25,No,0.51604,0.5147136160317963
BiLSTM,tanh,sgd,25,Yes,0.51004,0.5100095743385128
BiLSTM,tanh,sgd,50,No,0.49692,0.49462967056150253
BiLSTM,tanh,sgd,50,Yes,0.5174,0.516861029490058
BiLSTM,tanh,sgd,100,No,0.50588,0.505431320171871
BiLSTM,tanh,sgd,100,Yes,0.49092,0.49064679027298863
BiLSTM,tanh,rmsprop,25,No,0.718,0.7179986842946615
BiLSTM,tanh,rmsprop,25,Yes,0.70648,0.7030470605773766
BiLSTM,tanh,rmsprop,50,No,0.75888,0.7581409080249899
